type,warp_execution_efficiency,gld_efficiency,gst_efficiency,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_sync,stall_pipe_busy,shared_efficiency,achieved_occupancy,l2_utilization,shared_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,tex_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,dram_utilization,time
cublas,1.0,0.92,0.88,0.04,0.08,0.2,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,802.49
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.2,0.02,0.77,0.33,0.2,0.58,0.26,0.1,0.09,0.2,0.75,0.0,0.73,642.66
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,352.94
cublas,1.0,0.92,0.88,0.04,0.08,0.19,0.13,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.82
cudnn,1.0,0.84,0.74,0.05,0.26,0.17,0.2,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,639.99
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.25
cublas,1.0,0.92,0.88,0.04,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,796.98
cudnn,1.0,0.84,0.74,0.03,0.26,0.16,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.73,642.69
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,357.78
cublas,1.0,0.92,0.88,0.04,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,798.44
cudnn,1.0,0.85,0.74,0.04,0.26,0.16,0.21,0.01,0.76,0.33,0.2,0.59,0.26,0.1,0.09,0.2,0.75,0.0,0.73,758.02
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,356.65
cublas,1.0,0.92,0.88,0.04,0.08,0.2,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.01
cudnn,1.0,0.84,0.74,0.04,0.26,0.15,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.81,670.6
trt,1.0,0.54,1.0,0.05,0.12,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.49
cublas,1.0,0.92,0.88,0.04,0.08,0.14,0.14,0.06,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.45,798.67
cudnn,1.0,0.84,0.74,0.04,0.26,0.17,0.21,0.01,0.77,0.32,0.2,0.58,0.26,0.1,0.09,0.2,0.73,0.0,0.81,650.38
trt,1.0,0.54,1.0,0.04,0.13,0.29,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,351.66
cublas,1.0,0.92,0.88,0.05,0.08,0.18,0.14,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,797.88
cudnn,1.0,0.85,0.74,0.04,0.26,0.16,0.21,0.01,0.77,0.32,0.2,0.59,0.26,0.1,0.09,0.2,0.74,0.0,0.81,714.9
trt,1.0,0.54,1.0,0.04,0.12,0.3,0.22,0.01,0.68,0.25,0.2,0.6,0.2,0.1,0.1,0.2,0.8,0.0,0.8,355.12
cublas,1.0,0.92,0.88,0.05,0.08,0.21,0.13,0.05,0.37,0.33,0.13,0.41,0.18,0.1,0.02,0.22,0.86,0.0,0.47,799.06
